ENTIDAD,DISTRITO,assigned_party,assigned_source,postuladores,siglado_ppn,mr_por_convenio,mr_por_afiliacion,winner_by_votes_valid,winner_by_votes_raw
MORELOS,3,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MORELOS,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MORELOS,5,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
NAYARIT,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
NAYARIT,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
NAYARIT,3,MORENA,votes_valid,,PT,,,MORENA,MORENA
NUEVO LEON,1,PAN,votes_valid,,PVEM,,,PAN,PAN
NUEVO LEON,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
NUEVO LEON,3,MORENA,votes_valid,,PT,,,MORENA,MORENA
NUEVO LEON,4,PAN,votes_valid,,MORENA,,,PAN,PAN
NUEVO LEON,5,MC,votes_valid,,PT,,,MC,MC
NUEVO LEON,6,PAN,votes_valid,,PT,,,PAN,PAN
NUEVO LEON,7,MC,votes_valid,,PVEM,,,MC,MC
NUEVO LEON,8,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
NUEVO LEON,9,PRI,votes_valid,,PT,,,PRI,PRI
NUEVO LEON,10,PAN,votes_valid,,MORENA,,,PAN,PAN
NUEVO LEON,11,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
NUEVO LEON,12,MC,votes_valid,,PVEM,,,MC,MC
NUEVO LEON,13,MC,votes_valid,,PVEM,,,MC,MC
NUEVO LEON,14,MORENA,votes_valid,,PT,,,MORENA,MORENA
OAXACA,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
OAXACA,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
OAXACA,3,MORENA,votes_valid,,PT,,,MORENA,MORENA
OAXACA,4,MORENA,votes_valid,,PRI,,,MORENA,MORENA
OAXACA,5,MORENA,votes_valid,,PAN,,,MORENA,MORENA
OAXACA,6,MORENA,votes_valid,,PT,,,MORENA,MORENA
OAXACA,7,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
OAXACA,8,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
OAXACA,9,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
OAXACA,10,MORENA,votes_valid,,PAN,,,MORENA,MORENA
PUEBLA,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,2,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
PUEBLA,3,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,5,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,8,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,9,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
PUEBLA,10,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,11,MORENA,votes_valid,,PT,,,MORENA,MORENA
PUEBLA,12,MORENA,votes_valid,,PT,,,MORENA,MORENA
PUEBLA,13,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,14,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,15,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
PUEBLA,16,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
QUERETARO,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
QUERETARO,2,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
QUERETARO,3,PAN,afiliacion_override,,PAN,PAN,PAN,PAN,PAN
QUERETARO,4,PAN,afiliacion_override,,PAN,PAN,PAN,PAN,PAN
QUERETARO,5,PAN,votes_valid,,MORENA,,,PAN,PAN
QUERETARO,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
QUINTANA ROO,1,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
QUINTANA ROO,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
QUINTANA ROO,3,MORENA,votes_valid,,PRI,,,MORENA,MORENA
QUINTANA ROO,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
SAN LUIS POTOSI,1,PVEM,votes_valid,,MORENA,,,PVEM,PVEM
SAN LUIS POTOSI,2,PVEM,afiliacion_override,,PVEM,PVEM,PVEM,PVEM,PVEM
SAN LUIS POTOSI,3,PVEM,afiliacion_override,,PVEM,PVEM,PVEM,PVEM,PVEM
SAN LUIS POTOSI,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
SAN LUIS POTOSI,5,PAN,votes_valid,,PVEM,,,PAN,PAN
SAN LUIS POTOSI,6,PVEM,afiliacion_override,,PVEM,PVEM,PVEM,PVEM,PVEM
SAN LUIS POTOSI,7,PVEM,votes_valid,,MORENA,,,PVEM,PVEM
SINALOA,1,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
SINALOA,2,MORENA,votes_valid,,PAN,,,MORENA,MORENA
SINALOA,3,MORENA,votes_valid,,PT,,,MORENA,MORENA
SINALOA,4,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
SINALOA,5,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
SINALOA,6,MORENA,votes_valid,,PRI,,,MORENA,MORENA
SINALOA,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
SONORA,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
SONORA,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
SONORA,3,MORENA,votes_valid,,PT,,,MORENA,MORENA
SONORA,4,MORENA,votes_valid,,PT,,,MORENA,MORENA
SONORA,5,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
SONORA,6,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
SONORA,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
TABASCO,1,MORENA,votes_valid,,PRD,,,MORENA,MORENA
TABASCO,2,MORENA,votes_valid,,PRD,,,MORENA,MORENA
TABASCO,3,MORENA,votes_valid,,PRD,,,MORENA,MORENA
TABASCO,4,MORENA,votes_valid,,PRI,,,MORENA,MORENA
TABASCO,5,MORENA,votes_valid,,PRD,,,MORENA,MORENA
TABASCO,6,MORENA,votes_valid,,PRI,,,MORENA,MORENA
TAMAULIPAS,1,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
TAMAULIPAS,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
TAMAULIPAS,3,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
TAMAULIPAS,4,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
TAMAULIPAS,5,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
TAMAULIPAS,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
TAMAULIPAS,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
TAMAULIPAS,8,PAN,votes_valid,,PT,,,PAN,PAN
TLAXCALA,1,MORENA,votes_valid,,PT,,,MORENA,MORENA
TLAXCALA,2,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
TLAXCALA,3,MORENA,votes_valid,,PT,,,MORENA,MORENA
VERACRUZ,1,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
