ENTIDAD,ENT_KEY,DISTRITO,DIST_CH,N_PARTY_COLS,PARTY_COLS,TOTAL_VOTOS,N_WINNERS,WINNERS,SIGLADO_DOMINANTE,SIGLADO_PRESENT
GUANAJUATO,GUANAJUATO,13,013,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,179064,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,14,014,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,162361,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,15,015,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,158318,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUERRERO,GUERRERO,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,205125,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUERRERO,GUERRERO,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,142563,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUERRERO,GUERRERO,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,178597,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUERRERO,GUERRERO,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,160568,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUERRERO,GUERRERO,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,193604,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUERRERO,GUERRERO,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,189536,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUERRERO,GUERRERO,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,175898,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUERRERO,GUERRERO,8,008,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,210515,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
HIDALGO,HIDALGO,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,218963,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
HIDALGO,HIDALGO,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,220568,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
HIDALGO,HIDALGO,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,202796,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
HIDALGO,HIDALGO,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,178217,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
HIDALGO,HIDALGO,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,228306,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
HIDALGO,HIDALGO,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,216352,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
HIDALGO,HIDALGO,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,192700,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
JALISCO,JALISCO,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,201293,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,174420,1,MC,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,189508,1,PAN,FUERZA Y CORAZON POR MEXICO,True
JALISCO,JALISCO,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,199074,1,MC,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,178480,1,MORENA,FUERZA Y CORAZON POR MEXICO,True
JALISCO,JALISCO,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,169996,1,MC,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,140136,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,8,008,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,261384,1,MC,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,9,009,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,205859,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,10,010,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,234682,1,PAN,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,11,011,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,229281,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,12,012,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,177055,1,MC,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,13,013,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,178612,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,14,014,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,112115,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,15,015,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,183313,1,PAN,SIGAMOS HACIENDO HISTORIA,True
JALISCO,JALISCO,16,016,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,172699,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
