ENTIDAD,DISTRITO,assigned_party,reason,postuladores,siglado_ppn,winner_by_votes_valid,winner_by_votes_raw
QUINTANA ROO,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
QUINTANA ROO,3,MORENA,winner_valid,,PRI,MORENA,MORENA
QUINTANA ROO,4,MORENA,afiliacion,,MORENA,MORENA,MORENA
SAN LUIS POTOSI,1,PVEM,winner_valid,,MORENA,PVEM,PVEM
SAN LUIS POTOSI,2,PVEM,afiliacion,,PVEM,PVEM,PVEM
SAN LUIS POTOSI,3,PVEM,afiliacion,,PVEM,PVEM,PVEM
SAN LUIS POTOSI,4,MORENA,afiliacion,,MORENA,MORENA,MORENA
SAN LUIS POTOSI,5,PAN,winner_valid,,PVEM,PAN,PAN
SAN LUIS POTOSI,6,PVEM,afiliacion,,PVEM,PVEM,PVEM
SAN LUIS POTOSI,7,PVEM,winner_valid,,MORENA,PVEM,PVEM
SINALOA,1,MORENA,winner_valid,,PVEM,MORENA,MORENA
SINALOA,2,MORENA,winner_valid,,PAN,MORENA,MORENA
SINALOA,3,MORENA,winner_valid,,PT,MORENA,MORENA
SINALOA,4,MORENA,winner_valid,,PVEM,MORENA,MORENA
SINALOA,5,MORENA,afiliacion,,MORENA,MORENA,MORENA
SINALOA,6,MORENA,winner_valid,,PRI,MORENA,MORENA
SINALOA,7,MORENA,afiliacion,,MORENA,MORENA,MORENA
SONORA,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
SONORA,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
SONORA,3,MORENA,winner_valid,,PT,MORENA,MORENA
SONORA,4,MORENA,winner_valid,,PT,MORENA,MORENA
SONORA,5,MORENA,afiliacion,,MORENA,MORENA,MORENA
SONORA,6,MORENA,winner_valid,,PVEM,MORENA,MORENA
SONORA,7,MORENA,afiliacion,,MORENA,MORENA,MORENA
TABASCO,1,MORENA,winner_valid,,PRD,MORENA,MORENA
TABASCO,2,MORENA,winner_valid,,PRD,MORENA,MORENA
TABASCO,3,MORENA,winner_valid,,PRD,MORENA,MORENA
TABASCO,4,MORENA,winner_valid,,PRI,MORENA,MORENA
TABASCO,5,MORENA,winner_valid,,PRD,MORENA,MORENA
TABASCO,6,MORENA,winner_valid,,PRI,MORENA,MORENA
TAMAULIPAS,1,MORENA,winner_valid,,PVEM,MORENA,MORENA
TAMAULIPAS,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
TAMAULIPAS,3,MORENA,winner_valid,,PVEM,MORENA,MORENA
TAMAULIPAS,4,MORENA,winner_valid,,PVEM,MORENA,MORENA
TAMAULIPAS,5,MORENA,winner_valid,,PVEM,MORENA,MORENA
TAMAULIPAS,6,MORENA,afiliacion,,MORENA,MORENA,MORENA
TAMAULIPAS,7,MORENA,afiliacion,,MORENA,MORENA,MORENA
TAMAULIPAS,8,PAN,winner_valid,,PT,PAN,PAN
TLAXCALA,1,MORENA,winner_valid,,PT,MORENA,MORENA
TLAXCALA,2,MORENA,winner_valid,,PVEM,MORENA,MORENA
TLAXCALA,3,MORENA,winner_valid,,PT,MORENA,MORENA
VERACRUZ,1,MORENA,winner_valid,,PVEM,MORENA,MORENA
VERACRUZ,2,MORENA,winner_valid,,PVEM,MORENA,MORENA
VERACRUZ,3,MORENA,winner_valid,,PVEM,MORENA,MORENA
VERACRUZ,4,PAN,winner_valid,,MORENA,PAN,PAN
VERACRUZ,5,MORENA,afiliacion,,MORENA,MORENA,MORENA
VERACRUZ,6,MORENA,afiliacion,,MORENA,MORENA,MORENA
VERACRUZ,7,MORENA,afiliacion,,MORENA,MORENA,MORENA
VERACRUZ,8,MORENA,winner_valid,,PAN,MORENA,MORENA
VERACRUZ,9,MORENA,winner_valid,,PT,MORENA,MORENA
VERACRUZ,10,MORENA,afiliacion,,MORENA,MORENA,MORENA
