ENTIDAD,DISTRITO,postuladores,winner_by_votes_raw,winner_by_votes_valid,siglado_ppn,mr_por_convenio,mr_por_afiliacion,PVEM_raw_gana_sin_nominar,incompleto_siglado
VERACRUZ,1,,MORENA,MORENA,PVEM,,,0,0
VERACRUZ,2,,MORENA,MORENA,PVEM,,,0,0
VERACRUZ,3,,MORENA,MORENA,PVEM,,,0,0
VERACRUZ,4,,PAN,PAN,MORENA,,,0,0
VERACRUZ,5,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
VERACRUZ,6,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
VERACRUZ,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
VERACRUZ,8,,MORENA,MORENA,PAN,,,0,0
VERACRUZ,9,,MORENA,MORENA,PT,,,0,0
VERACRUZ,10,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
VERACRUZ,11,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
VERACRUZ,12,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
VERACRUZ,13,,MORENA,MORENA,PVEM,,,0,0
VERACRUZ,14,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
VERACRUZ,15,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
VERACRUZ,16,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
VERACRUZ,17,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
VERACRUZ,18,,MORENA,MORENA,PVEM,,,0,0
VERACRUZ,19,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
YUCATAN,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
YUCATAN,2,,MORENA,MORENA,PVEM,,,0,0
YUCATAN,3,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
YUCATAN,4,,PAN,PAN,MORENA,,,0,0
YUCATAN,5,,MORENA,MORENA,PVEM,,,0,0
YUCATAN,6,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
ZACATECAS,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
ZACATECAS,2,,MORENA,MORENA,PVEM,,,0,0
ZACATECAS,3,,MORENA,MORENA,PT,,,0,0
ZACATECAS,4,,MORENA,MORENA,PT,,,0,0
