ENTIDAD,DISTRITO,winner_col,partido_ganador,siglado_dom,siglado_coal,postuladores,coalition_tokens,votos_morena,votos_otros_en_coal
CHIHUAHUA,4,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],78667.0,{'MORENA': 78667.0}
CIUDAD DE MEXICO,4,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],105935.0,{'MORENA': 105935.0}
DURANGO,4,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],60153.0,{'MORENA': 60153.0}
GUERRERO,4,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],98213.0,{'MORENA': 98213.0}
HIDALGO,4,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],90824.0,{'MORENA': 90824.0}
MEXICO,4,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],82134.0,{'MORENA': 82134.0}
MICHOACAN,4,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],55247.0,{'MORENA': 55247.0}
MORELOS,4,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],96979.0,{'MORENA': 96979.0}
OAXACA,4,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],94110.0,{'MORENA': 94110.0}
PUEBLA,4,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],74869.0,{'MORENA': 74869.0}
QUINTANA ROO,4,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],72587.0,{'MORENA': 72587.0}
SAN LUIS POTOSI,4,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],57198.0,{'MORENA': 57198.0}
SINALOA,4,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],103146.0,{'MORENA': 103146.0}
SONORA,4,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],79423.0,{'MORENA': 79423.0}
TABASCO,4,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],122237.0,{'MORENA': 122237.0}
TAMAULIPAS,4,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],84908.0,{'MORENA': 84908.0}
ZACATECAS,4,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],69032.0,{'MORENA': 69032.0}
BAJA CALIFORNIA,5,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],89821.0,{'MORENA': 89821.0}
CIUDAD DE MEXICO,5,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],98185.0,{'MORENA': 98185.0}
GUERRERO,5,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],62426.0,{'MORENA': 62426.0}
