NOMBRE_ESTADO,ENTIDAD,DF_2021,AÑO_ELECCION,swing_PAN,swing_PRI,swing_PRD,swing_PVEM,swing_PT,swing_MC,swing_MORENA,PAN_local,PRI_local,PRD_local,PVEM_local,PT_local,MC_local,MORENA_local,PAN_fed_2021,PRI_fed_2021,PRD_fed_2021,PVEM_fed_2021,PT_fed_2021,MC_fed_2021,MORENA_fed_2021
México,15,16,2023,-13.880865016785075,-12.169846415475368,-15.496037168625307,-100.0,-100.0,-100.0,-100.0,11031,33054,3092,0.0,0.0,0.0,0.0,12809.0,37634.0,3659.0,3006.0,3568.0,3167.0,60552.0
México,15,17,2023,11.705036605804004,-11.904626899523702,-8.609437751004016,-100.0,-100.0,-100.0,-100.0,12664,31073,3641,0.0,0.0,0.0,0.0,11337.0,35272.0,3984.0,3294.0,2757.0,3468.0,54189.0
México,15,18,2023,-49.82438272813924,-11.522936551318168,-65.1926808982534,-100.0,-100.0,-100.0,-100.0,38428,42085,2511,0.0,0.0,0.0,0.0,76587.0,47566.0,7214.0,4646.0,2900.0,6036.0,49466.0
México,15,19,2023,22.44511066043559,25.943532123307406,22.04724409448819,-100.0,-100.0,-100.0,-100.0,55546,52458,3255,0.0,0.0,0.0,0.0,45364.0,41652.0,2667.0,4615.0,2173.0,5094.0,63486.0
México,15,20,2023,-32.324840764331206,17.71458920619357,-78.80914921941184,-100.0,-100.0,-100.0,-100.0,9775,28813,1751,0.0,0.0,0.0,0.0,14444.0,24477.0,8263.0,2952.0,1846.0,28967.0,60062.0
México,15,21,2023,-41.367924528301884,-1.594974545794218,-56.50424033347707,-100.0,-100.0,-100.0,-100.0,4972,42139,3026,0.0,0.0,0.0,0.0,8480.0,42822.0,6957.0,13288.0,1982.0,11075.0,57669.0
México,15,22,2023,-7.319501205071781,-6.300887968453006,1.5304067660088603,-100.0,-100.0,-100.0,-100.0,70756,33028,2521,0.0,0.0,0.0,0.0,76344.0,35249.0,2483.0,3860.0,3782.0,7664.0,50568.0
México,15,23,2023,-51.5774205245981,-18.053515550162846,-59.37630807869402,-100.0,-100.0,-100.0,-100.0,8012,51328,1941,0.0,0.0,0.0,0.0,16546.0,62636.0,4778.0,16501.0,5676.0,3029.0,63760.0
México,15,24,2023,-15.038735667802912,17.76922360537671,31.654381654381652,-100.0,-100.0,-100.0,-100.0,27417,37937,3215,0.0,0.0,0.0,0.0,32270.0,32213.0,2442.0,4035.0,3002.0,8582.0,58846.0
México,15,25,2023,14.290161892901617,-37.401109798765404,33.63970588235294,-100.0,-100.0,-100.0,-100.0,3671,28090,2181,0.0,0.0,0.0,0.0,3212.0,44873.0,1632.0,2170.0,1988.0,2028.0,57495.0
México,15,26,2023,-26.811429609776045,3.4688995215311005,0.589622641509434,-100.0,-100.0,-100.0,-100.0,16111,57090,2559,0.0,0.0,0.0,0.0,22013.0,55176.0,2544.0,6368.0,2771.0,4537.0,65864.0
México,15,27,2023,-10.762720505761191,1.1538701428304123,-21.328029375764995,-100.0,-100.0,-100.0,-100.0,35006,64872,2571,0.0,0.0,0.0,0.0,39228.0,64132.0,3268.0,6415.0,10480.0,12855.0,54475.0
México,15,28,2023,-84.07320166696866,-23.566208348817046,-78.36272937822912,-100.0,-100.0,-100.0,-100.0,5274,24682,2429,0.0,0.0,0.0,0.0,33114.0,32292.0,11226.0,12665.0,2880.0,3723.0,58748.0
